,"Mean","","","","","","","2.313891","","","","","","","2008.201","76.63077","76.63077","76.63077","76.63077","75.15283","76.6303","75.14295","76.63077","74.89044","76.63077","74.09386","76.63077","75.02398","76.63077","75.03856","76.63077","74.763","76.63077","75.07759","76.63077","76.26479","77.23772","76.05777","77.23772","76.10952","77.23731","76.03356","77.23731","75.50082","77.23571","75.28376","77.23571","75.09214","77.21781","75.56353","77.21781","75.53709","77.21823","74.98132","77.21823",".4050483",".4381386",".4309342",".6191417",".4235372",".4174144",".483693",".2790332",".3624875",".5004858",".4942501",".6564251",".701749",".6434248",".7497987",".6413939",".6289308",".5247104","313.9314","","612.1831","","616.726","","299.7086","","181.5196","","306.1187","","313.8577","","314.4105","","313.8182","","737.7997","","307.7333","","99.52756","","868.6076","","532.7536",""
,"Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Stdev. ","","","","","","","1.116069","","","","","","",".4010838","15.85656","15.85656","15.85656","15.85656","18.95925","15.85676","18.91426","15.85656","19.56283","15.85656","20.9665","15.85656","19.18055","15.85656","19.22913","15.85656","19.75914","15.85656","19.10302","15.85656","17.95629","16.01349","18.37484","16.01349","18.30807","16.01315","18.48741","16.01315","19.42556","16.01365","19.7386","16.01365","20.23907","16.00503","19.23428","16.00503","19.2515","16.00484","20.20897","16.00484","1.786657","1.795039","1.911765","2.177829","2.072093","2.224055","2.416564","1.958066","2.618923","2.867077","2.781559","2.944447","3.409719","3.244023","3.500262","3.35683","3.30147","3.258669","166.3219","","332.9976","","336.2741","","169.0704","","100.9507","","166.5635","","157.8087","","159.5902","","158.9461","","437.659","","278.5208","","36.30913","","689.2484","","757.0607",""
,"Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Derivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Deriv. Des.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
